KO	wilcoxon
ko00040	4.160344273079458
ko00051	4.655270422747066
ko00130	4.314065096048876
ko00430	3.3286048202270724
ko00480	3.7354159981568533
ko00531	3.5841656884137296
ko00540	5.565791797371278
ko00740	3.717298901164029
ko00790	3.441973927167018
ko04974	4.057406221983866
ko05111	4.427983205927998
