Individual	V1.UC9-0	V1.UC8-0	V1.UC7-0	V1.UC62-0	V1.UC61-0	V1.UC6-0	V1.UC57-0	V1.UC48-0	V1.UC46-0	V1.UC44-0	V1.UC43-0	V1.UC42-0	V1.UC41-0	V1.UC37-0	V1.UC36-0	V1.UC34-0	V1.UC33-0	V1.UC32-0	V1.UC30-0	V1.UC29-0	V1.UC28-0	V1.UC27-0	V1.UC24-0	V1.UC19-0	V1.UC18-0	V1.UC16-0	V1.CD9-0	V1.CD8-0	V1.CD42-0	V1.CD4-0	V1.CD38-0	V1.CD36-0	V1.CD34-0	V1.CD31-0	V1.CD3-0	V1.CD30-0	V1.CD29-0	V1.CD28-0	V1.CD27-0	V1.CD24-0	V1.CD22-0	V1.CD2-0	V1.CD19-0	V1.CD16-0	V1.CD14-0	V1.CD13-0	V1.CD11-0	SRR13279763	SRR13279762	SRR13279761	SRR13279760	SRR13279759	SRR13279758	SRR13279757	SRR13279756	SRR13279755	SRR13279754	SRR13279753	SRR13279752	SRR13279751	SRR13279749	SRR13279748	SRR13279747	SRR13279746	SRR13279745	SRR13279744	SRR13279743	SRR13279742	SRR13279741	SRR13279740	SRR13279739	SRR13279738	SRR13279737	SRR13279736	SRR13279735	SRR13279734	SRR13279733	SRR13279732	SRR13279731	SRR13279730	SRR13279729	SRR13279728	SRR13279727	SRR13279726	SRR13279725	SRR13279724	SRR13279723	SRR13279722	SRR13279721	SRR13279720	SRR13279719	SRR13279718	SRR13279717	SRR13279716	SRR13279715	SRR13279714	SRR13279713	SRR13279712	SRR13279711	SRR13279710	SRR13279709	SRR13279708	SRR13279707	SRR13279706	SRR13279705	SRR13279704	SRR13279703	SRR13279702	SRR13279701	SRR13279700	SRR13279699	SRR13279698	SRR13279697	SRR13279696	SRR13279695	SRR13279694	SRR13279693	SRR13279692	SRR13279691	SRR13279690	SRR13279689	SRR13279688	SRR13279687	SRR13279686	SRR13279685	SRR13279684	SRR13279683	SRR13279682	SRR13279681	SRR13279680	SRR13279679	SRR13279678	SRR13279677	SRR13279676	SRR13279675	SRR13279674	SRR13279673	SRR13279670	SRR13279659	SRR13279648	SRR13279637	SRR13279626	SRR13279615	SRR13279604	SRR13279588	SRR13279587	SRR13279586	SRR13279585	SRR13279584	SRR13279583	SRR13279582	SRR10901947	SRR10901945	SRR10901943	SRR10901942	SRR10901940	SRR10901938	SRR10901937	SRR10901936	SRR10901935	SRR10901934	SRR10901932	SRR10901930	SRR10901929	SRR10901928	SRR10901927	SRR10901926	SRR10901923	SRR10901921	SRR10901919	SRR10901917	SRR10901915	SRR10901914	SRR10901913	SRR10901912	SRR10901911	SRR10901910	SRR10901909	SRR10901908	SRR10901907	SRR10901906	SRR10901905	SRR10901904	SRR10901903	SRR10901901	SRR10901900	SRR10901899	SRR10901898	SRR10901897	SRR10901895	SRR10901894	SRR10901893	SRR10901892	SRR10901891	SRR10901890	SRR10901889	SRR10901888	SRR10901887	SRR10901886	SRR10901885	SRR10901884	SRR10901883	SRR10901882	SRR10901881	SRR10901880	SRR10901879	SRR10901878	SRR10901877	SRR10901876	SRR10901875	SRR10901874	SRR10901873	SRR10901872	O2.UC60-0	O2.UC59-0	O2.UC58-0	O2.UC57-0	O2.UC56-0	O2.UC55-0	O2.UC54-0	O2.UC53-0	O2.UC52-0	O2.UC51-0	O2.UC50-0	O2.UC49-0	MH0462	MH0458	MH0457	MH0456	MH0455	MH0454	MH0453	MH0452	MH0451	MH0450	MH0448	MH0447	MH0446	MH0445	MH0444	MH0443	MH0442	MH0441	MH0440	MH0439	MH0438	MH0437	MH0436	MH0435	MH0434	MH0433	MH0432	MH0431	MH0430	MH0429	MH0428	MH0427	MH0426	MH0425	MH0424	MH0423	MH0422	MH0421	MH0420	MH0419	MH0418	MH0417	MH0416	MH0415	MH0414	MH0413	MH0412	MH0411	MH0410	MH0409	MH0408	MH0407	MH0406	MH0405	MH0404	MH0403	MH0333	MH0322	MH0321	MH0318	MH0316	MH0313	MH0307	MH0305	MH0302	MH0292	MH0289	MH0288	MH0287	MH0286	MH0277	MH0276	MH0275	MH0274	MH0272	MH0267	MH0257	MH0253	MH0251	MH0250	MH0247	MH0244	MH0243	MH0239	MH0236	MH0233	MH0230	MH0229	MH0227	MH0224	MH0220	MH0217	MH0212	MH0211	MH0206	MH0205	MH0204	MH0203	MH0200	MH0199	MH0198	MH0197	MH0196	MH0195	MH0193	MH0191	MH0189	MH0188	MH0187	MH0186	MH0185	MH0184	MH0183	MH0182	MH0181	MH0180	MH0179	MH0178	MH0177	MH0176	MH0175	MH0174	MH0173	MH0172	MH0170	MH0169	MH0168	MH0167	MH0166	MH0165	MH0164	MH0163	MH0162	MH0161	MH0160	MH0159	MH0158	MH0157	MH0156	MH0155	MH0154	MH0153	MH0152	MH0151	MH0150	MH0149	MH0148	MH0147	MH0146	MH0145	MH0144	MH0143	MH0142	MH0141	MH0140	MH0139	MH0138	MH0137	MH0136	MH0135	MH0134	MH0133	MH0132	MH0131	MH0130	MH0129	MH0128	MH0127	MH0126	MH0125	MH0124	MH0123	MH0122	MH0121	MH0120	MH0119	MH0118	MH0117	MH0116	MH0115	MH0114	MH0113	MH0111	MH0110	MH0109	MH0108	MH0107	MH0106	MH0105	MH0104	MH0103	MH0102	MH0101	MH0100	MH0099	MH0098	MH0097	MH0096	MH0095	MH0094	MH0093	MH0092	MH0091	MH0090	MH0089	MH0088	MH0087	MH0086	MH0085	MH0084	MH0083	MH0082	MH0081	MH0080	MH0079	MH0078	MH0077	MH0076	MH0075	MH0074	MH0073	MH0072	MH0071	MH0070	MH0069	MH0068	MH0067	MH0066	MH0065	MH0064	MH0063	MH0062	MH0061	MH0060	MH0059	MH0058	MH0057	MH0056	MH0055	MH0054	MH0053	MH0052	MH0051	MH0050	MH0049	MH0048	MH0047	MH0046	MH0045	MH0044	MH0043	MH0042	MH0041	MH0040	MH0039	MH0038	MH0037	MH0036	MH0035	MH0034	MH0033	MH0032	MH0031	MH0030	MH0028	MH0026	MH0025	MH0024	MH0021	MH0020	MH0016	MH0014	MH0012	MH0011	MH0009	MH0006	MH0003	MH0002	ERR710432	ERR710429	ERR710428	ERR710427	ERR688646	ERR688624	ERR688622	ERR688619	ERR688617	ERR688616	ERR688614	ERR688612	ERR688610	ERR688608	ERR688607	ERR688606	ERR688603	ERR688600	ERR688598	ERR688595	ERR688594	ERR688593	ERR688591	ERR688590	ERR688566	ERR688565	ERR688564	ERR688563	ERR688561	ERR688557	ERR688556	ERR688554	ERR688552	ERR688551	ERR688550	ERR688544	ERR688543	ERR688539	ERR688533	ERR688530	ERR688528	ERR688523	ERR688520	ERR688518	ERR688516	ERR688514	ERR688510	ERR688509	ERR688507	ERR688506	ERR275251	ERR260275	ERR260272	ERR260269	ERR260268	ERR260267	ERR260266	ERR260265	ERR260264	ERR260263	ERR260262	ERR260260	ERR260259	ERR260258	ERR260257	ERR260256	ERR260255	ERR260254	ERR260253	ERR260252	ERR260251	ERR260250	ERR260249	ERR260248	ERR260247	ERR260246	ERR260245	ERR260244	ERR260243	ERR260242	ERR260237	ERR260236	ERR260234	ERR260233	ERR260232	ERR260231	ERR260230	ERR260228	ERR260227	ERR260226	ERR260225	ERR260224	ERR260223	ERR260222	ERR260221	ERR260220	ERR260219	ERR260218	ERR260217	ERR260216	ERR260215	ERR260211	ERR260209	ERR260205	ERR260204	ERR260200	ERR260197	ERR260195	ERR260193	ERR260187	ERR260184	ERR260183	ERR260180	ERR260177	ERR260175	ERR260172	ERR260171	ERR260170	ERR260168	ERR260164	ERR260163	ERR260160	ERR260158	ERR260157	ERR260156	ERR260154	ERR260153	ERR260150	ERR260148	ERR260147	ERR260146	ERR260145	ERR260143	ERR260142	ERR260141	ERR260138	ERR260137	ERR260136	ERR260135	ERR260134	ERR260133	ERR260132	ERR1190788	ERR1190787	ERR1190786	ERR1190785	ERR1190784	ERR1190783	ERR1190782	ERR1190781	ERR1190780	ERR1190779	ERR1190778	ERR1190777	ERR1190776	ERR1190775	ERR1190774	ERR1190773	ERR1190772	ERR1190771	ERR1190770	ERR1190769	ERR1190768	ERR1190767	ERR1190766	ERR1190765	ERR1190764	ERR1190763	ERR1190762	ERR1190761	ERR1190760	ERR1190759	ERR1190758	ERR1190757	ERR1190756	ERR1190755	ERR1190754	ERR1190753	ERR1190752	ERR1190751	ERR1190750	ERR1190749	ERR1190748	ERR1190726	ERR1190725	ERR1190724	ERR1190723	ERR1190722	ERR1190721	ERR1190720	ERR1190719	ERR1190718	ERR1190717	ERR1190716	ERR1190713	ERR1190711	ERR1190705	ERR1190704	ERR1190703	ERR1190702	ERR1190701	ERR1190700	ERR1190699	ERR1190698	ERR1190697	ERR1190696	ERR1190695	ERR1190694	ERR1190693	ERR1190692	ERR1190691	ERR1190690	ERR1190689	ERR1190688	ERR1190687	ERR1190686	ERR1190685	ERR1190684	ERR1190683	ERR1190682	ERR1190681	ERR1190680	ERR1190679	ERR1190678	ERR1190677	ERR1190676	ERR1190675	ERR1190674	ERR1190673	ERR1190672	ERR1190671	ERR1190670	ERR1190669	ERR1190668	ERR1190667	ERR1190666	ERR1190665	ERR1190664	ERR1190663	ERR1190662	ERR1190661	ERR1190660	ERR1190659	ERR1190658	ERR1190657	ERR1190656	ERR1190655	ERR1190654	ERR1190653	ERR1190652	ERR1190651	ERR1190650	ERR1190649	ERR1190648	ERR1190647	ERR1190646	ERR1190645	ERR1190644	ERR1190643	ERR1190642	ERR1190641	ERR1190640	ERR1190639	ERR1190638	ERR1190637	ERR1190636	ERR1190635	ERR1190634	ERR1190633	ERR1190632	ERR1190631	ERR1190630	ERR1190629	ERR1190628	ERR1190627	ERR1190626	ERR1190625	ERR1190624	ERR1190623	ERR1190622	ERR1190621	ERR1190609	ERR1190608	ERR1190607	ERR1190606	ERR1190605	ERR1190604	ERR1190603	ERR1190602	ERR1190601	ERR1190600	ERR1190599	ERR1190598	ERR1190597	ERR1190596	ERR1190595	ERR1190594	ERR1190593	ERR1190592	ERR1190591	ERR1190590	ERR1190589	ERR1190588	ERR1190587	ERR1190586	ERR1190585	ERR1190584	ERR1190583	ERR1190582	ERR1190581	ERR1190580	ERR1190579	ERR1190578	ERR1190577	ERR1190576	ERR1190575	ERR1190574	ERR1190573	ERR1190572	ERR1190571	ERR1190570	ERR1190569	ERR1190568	ERR1190567	ERR1190566	ERR1190565	ERR1190564	ERR1190563	ERR1190562	ERR1190561	ERR1190560	ERR1190559	ERR1190558	ERR1190557	ERR1190556	ERR1190555	ERR1190554	ERR1190553	ERR1190552	ERR1190551	ERR1190550	ERR1190549	ERR1190548	ERR1190547	ERR1190546	ERR1190545	ERR1190544	ERR1190543	ERR1190542	ERR1190541	ERR1190540	ERR1190539	ERR1190538	ERR1190537	ERR1190536	ERR1190535	ERR1190534	ERR1190533	ERR1190532
Euryarchaeota	0.47277	8.50878	0	0.5803	0	0.00981	0.63411	0.24018	0	0	1.93233	0	0.0647	0.97614	15.4032	0	0	0	9.74047	0.27537	0	0	0.03878	0	0	36.12889	9.81874	21.33592	0	0	0	0	0.2581	0	0	0.86521	0.00896	0	0	0	7.82425	0.23607	0.00608	0.53218	2.62246	0.34398	0	0	0	0	0	0	0	0	0.93294	0.00043	0	0	0	0	0.00393	0	0	0.32683	0	0	0.00439	0.01837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0255	0	0	0	0	0	0	0	0.00259	0	0	0	0	0.00375	0	0	0.15663	0	0	0	0	0.33232	0	0	0	0	0	0	0	0.0601	0	0.24358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04524	1.03839	0	2.94301	0.11996	0	0.75208	0	0	6.71711	1.21943	3.0161	0	0	0	0	0	0	0.06734	0	0.06728	0	0	0	0.44957	0	0.06747	0	0	0.79573	0.49035	0.5811	0.1371	0.61064	0.33843	0.61207	0.04688	0.8338	0.44251	0.94022	0	0	0	0	0.09134	0	0.25036	0	0.05887	0	0.24852	0	0.0761	0	0.43323	0	0	0	0.02527	0	0.00683	0	0.17088	0	0	1.47352	0	1.32563	0.47105	1.42538	0.04636	1.26181	0.00649	1.39959	0.2061	1.49249	0	1.53962	0	0	0	0	0	0	0	0.28459	0	0.04069	0.52285	0	0.42395	0.00495	0.50451	0.01161	0.42554	0.47188	0.64789	0	0	0.52011	0	0	0	0	0.02785	0	0	1.26262	0	1.27575	0.27608	1.49088	0.19183	1.71217	0.15011	0	0	0.16736	0	0	0	0	0	0	0	0	0	0.8552	0	0.80826	0	0.05104	1.45304	0	0.8334	0.01305	0.71672	0	0	0.15339	0	0	0.26266	0	0.77924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16082	0	0.03801	0.14762	0	0	0	0	0	0	0	0	0	0.18355	0	0	3.84506	4.42068	0.0766	0.09309	0	0	0.86051	0	0.19632	0.01728	0	0	0.2797	0	0	0.57531	0.21713	2.28757	0	0.00164	0	0	0	0	0.83543	0	0	1.53135	0	0.60121	0	1.53871	0	0.0105	1.41744	0.82984	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09687	0.19927	0	6.49877	0	0.02846	0	0.06905	0	0	0	0.06068	0.23103	0	0	0	0.11125	1.23379	0	0.26488	0	0	0.75921	0	0.01509	0	0.92201	0	0.18556	0.28815	0.05623	0.13718	0.05165	0	0	0	0	0	0	0	0.15659	0	0	0	0	0	0.14413	0.04139	0	0.07572	0	0.13635	0.12234	0.05267	0	0.69096	0.03878	0.194	0	0	0.01851	1.3938	4.04425	0.38876	0	0	0	17.2328	1.01157	0	0	0	2.34682	0	0	0	0	0.58768	0	17.71507	0	0	0	0	0	0	0.1453	0	1.67904	0	0	0	0	1.9119	0	0	0.00124	4.51735	0	0	0.37484	0	0	0	0	0	0.62579	1.59281	0	0	0	0.32014	1.22834	0	0	0	0.41356	1.24196	0.37659	0.83914	0	11.87375	0.54617	0	0	4.63073	0.82107	1.10192	0.33997	0	0	4.37058	0.62037	0.05184	12.74227	0.96236	4.65397	0	0	0	0	0	0	3.13918	0	0	3.94418	0.18615	6.02446	9.49139	0	2.45949	0	4.33126	4.98198	0	8.73976	2.4474	2.84275	0	0	8.07145	0	0	2.63857	0	0.87225	0	0	5.544	0	2.69499	1.42162	0	11.16199	2.35435	0	6.6595	11.39124	1.05417	0	0.35034	0	0	0	0	0	0	0	11.09843	0	0	0.1051	4.12383	0	0	5.29822	0	0	5.05167	0	0	7.36828	2.52641	0.83149	0	0	0.08956	0	0	0	1.4806	0	0	0	0	0	0.28366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01624	0	0	0	0	0	0	0.02378	0	0	0	0	0	0	0	0	0	2.74264	0	0	0	0	0	0	0	0	0	0	0	0	1.12838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33897	0	0	0	0	0	0	0	0	2.23281	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	1.71805	0.63268	0.5656	4.83633	0.95872	0.43234	1.33799	6.42871	1.09631	1.02503	3.19718	5.40569	0.56518	0.77566	1.29591	5.32672	17.67744	1.44634	8.09179	1.57281	0.53894	8.24835	0.44828	0.12275	0.46449	1.55284	0	0	0.67696	0.28801	1.275	11.67107	1.88289	10.28545	0.32216	2.21645	1.25833	0.01964	2.71539	2.23965	13.13304	0	8.66645	2.39179	0.17405	0.84439	0	0.26977	0.00668	5.46605	0.09123	2.66472	0.07183	0.12771	0.34595	0.13792	0.43739	0.04511	0.26533	0.07259	0.04676	0.6059	0.21769	0.90759	0.5487	2.34341	0.88558	0.41434	1.61809	0.30672	1.6033	0.44623	0.58393	0.20727	0.00645	0.35107	0.99646	3.11537	2.73494	0.11087	0.23444	0.25391	1.89937	0.3924	0.34756	0.207	0.60182	0.16366	0.75237	0.03198	0.37938	0.14317	0.23311	0.88109	0.29709	2.82084	0.06967	0.20237	4.38146	1.10849	0.05388	1.25883	0.30974	0.52375	1.81817	8.4662	0.02644	0.1271	1.29326	0.08669	0.37057	0.31065	0.62238	0.15307	2.29727	3.42057	19.60957	0.1147	0.57873	0.73209	0.87859	0.59879	1.53689	0.56192	0.07017	0.30051	0.04386	0.74117	0.24199	2.36137	1.59611	0.29751	0.12798	0.80749	0	0.21348	0.20658	0.14586	0.19173	0.28691	0.36504	0.37666	0.17267	4.48058	1.10685	1.40099	0.89052	0.02337	0.15161	0.12843	0.69319	0.65866	0.0044	0.14482	0.57836	0.35478	10.96764	1.71423	7.8716	0.34285	1.12713	1.69163	0.86066	14.84936	0.46804	0.2016	1.75294	4.75164	3.80314	10.94973	5.43408	2.59803	4.34088	2.26529	1.22833	3.00245	30.27964	0.596	2.14889	0.20729	6.59216	1.70033	1.12804	0.45133	5.41025	0.39042	0.25775	0.27909	0.78934	3.51607	9.4321	0.57486	0.1057	0.45035	0.30565	0.47945	2.2751	5.74332	0.26337	0.87374	4.77176	1.17917	3.57518	0.50897	1.21802	0.27962	0.51175	3.22194	0.14019	0.02509	0.72953	0.50884	0.68314	1.72107	2.14921	4.52272	0.97312	0.79578	0.35228	0.95177	1.87448	0.10757	2.93219	1.545	0.18793	0.12875	3.40789	0.20923	0.18534	0	1.72405	0.00323	1.00032	0.00988	0.56383	0.22499	6.85861	0.43701	0.16029	0.40546	3.76799	0.37623	1.11788	0.03777	1.54304	0.02965	7.66071	0.02186	1.89527	0.45849	0.92914	0.29877	6.61427	0.11968	0.17168	0	2.76623	0	3.65962	0	6.37113	0.26284	3.36253	0.20124	2.50072	0.0855	1.53257	0.14928	0.92462	0	0.42989	0	1.61316	0.00978	0.67743	0.16744	3.1233	2.11337	7.78955	0.32712	4.4217	0.53695	5.86168	0.55238	1.30561	3.53503	2.79382	2.29647	0.93045	2.51305	0.7797	0.20437	0.06725	0	1.18159	0.10073	0.01813	1.14898	0.2505	0.6747	1.13277	0.61163	0.17526	1.9075	0.30839	1.10444	0.21399	2.56839	1.36865	2.30231	0.61916	1.11845	0.12765	0.86884	3.19905	0.10896	1.83125	0.93417	2.90152	0.07205	1.13924	1.13291	0.55408	0.70468	0.92749	0.62379	1.49609	0.63125	1.76807	1.96163	0.10563	0.19066	9.7978	0.84328	0.23189	0.02154	0.37548	0.36368	0.56014	0	1.0159	0	0.3917	1.1154	0.45142	1.62802	0.04684	0.69697	0.11117	0.548	0.07643	0.47109	0.42572	0.30007	0.58441	0.40862	2.3935	0	0.24476	0	2.07077	0.02615	0.66647	0.05713	0.57199	0.02578	0.7167	0	1.40888	1.50944	0	0.48733	1.90577	1.07804	1.26321	0	0.53173	1.11632	0.34216	0.53263	1.87295	0.78648	0.39436	2.27483	1.447	0.62984	0.30906	1.49851	13.98167	0.13346	3.40229	1.09662	0.33859	0.89221	0.83869	0.53046	0.54829	1.12174	0.05342	0.31228	0.57704	4.00673	1.01195	1.81636	2.31444	0.32727	0.04853	0.71113	0.14513	0.22835	0.42805	0.31173	0.15459	0.14417	2.34164	0.20503	1.01672	0.69726	0.77069	0.63661	0.28817	0.51482	0.15602	0.19788	0.06352	0.12348	0.80524	0.19703	0.84645	1.14446	0.41925	0.49727	3.988	0.27647	0	0.59067	0.30646	0.40979	0	0.12922	0.1952	0.45429	0.55581	0.15858	0.55143	0.57048	0	0.48105	0.0893	1.85411	0.43871	0.34054	3.57565	0.20319	0.17619	0.25857	1.47344	0.05643	0.51366	1.24734	0.15832	0.10356	0.07409	0.46474	1.60176	1.31067	0.47423	0	0.31951	0.19893	0.20901	0.66922	0.01841	0.12859	0.20728	0.21844	0.11181	2.52562	0.29151	0.05627	0.04567	0.02878	0	1.22572	0	0.23684	0.11828	0.53737	0.14208	1.00325	0.18635	1.96286	0.07378	0.46816	0.37142	0.11777	0.20938	2.54395	0.44794	0.32842	0.29429	0.58078	0.84175	17.51857	6.82378	5.4299	1.96338	12.22896	4.99934	32.7637	2.05451	49.31372	33.39155	4.03793	43.06827	24.48871	22.28768	4.16228	2.63705	10.21646	3.70138	30.19546	8.08402	65.63865	21.42332	51.76075	10.35159	5.73902	18.89089	28.56701	4.48238	3.49813	16.34305	21.3606	71.05616	18.54655	5.99377	33.79683	12.09935	27.61505	0.95763	18.76644	33.42977	9.84431	12.83967	19.24012	30.57447	11.57998	7.7432	47.10373	27.90381	16.44767	9.4051	7.44872	3.86752	6.15453	3.0016	1.87182	5.48165	4.03471	0.87856	7.24062	7.13355	16.56325	6.11866	6.31453	4.13044	14.23456	5.06372	4.13023	11.2632	2.95279	8.08676	4.70594	0.96138	11.35517	2.05929	5.05845	2.92401	5.27921	3.79427	7.12721	4.95816	8.16797	6.66614	3.3986	3.83861	3.93289	3.22414	0.48198	20.1806	2.42619	4.43354	10.12659	1.07638	25.0991	2.99687	4.034	2.20308	0.55333	3.61642	6.70794	1.51468	7.53129	12.31797	2.63784	9.2362	9.36421	4.94181	20.16623	4.0523	5.48849	3.32433	2.65084	11.85451	9.31616	6.63267	20.92562	10.93605	4.99157	8.54	18.82407	5.71142	6.92938	7.59002	2.77818	1.87349	10.03273	13.22921	5.53606	3.78834	13.23847	1.47235	6.55204	23.3566	4.77045	18.44868	10.87964	15.39148	2.40552	3.41296	4.42486	12.58638	2.40513	17.95936	0.56563	0.31951	0.08443	0.24017	0.54299	0.135	0.93467	0.33779	0.09911	2.16531	0.38059	0.88845	6.36365	0.11977	2.04627	0.6262	0.80589	0.64801	0.60385	0.31058	7.97779	6.6873	1.09596	12.14392	7.70232	12.80604	7.03347	1.18115	0.15963	2.14507	2.30648	0.98687	13.92903	2.68707	0.86748	3.72711	0.19072	3.99131	0.55513	4.18108	9.65809	1.11263	9.44064	9.12916	7.71199	3.73405	0.27238	1.99624	9.67821	1.83679	1.79574	3.02134	1.13321	2.72813	0.20932	1.2383	1.04553	5.15002	0.33716	0.25515	0.2605	0.17127	0.01187	0.28878	0.88066	0.29499	0.05752	0.82639	0.26714	0.25471	0.30115	0.61336	1.91928	0.85237	0.26475	1.73982	0.01776	0.04227	1.44419	0.46107	0.526	0.71671	0.64074	0.22781	13.91512	2.01228	0.04274	0.78925	18.03795	1.9693	1.05642	0.4945	1.66351	0.23997	1.78542	0.72176	1.05643	0.79322	11.26972	0.84311	0.46849	0.87896	5.49667	3.15355	13.98604	6.74193	4.10209	0.70212	1.81826	1.27068	4.95538	8.38307	0.23514	0.94887	0.23571	0.18699	1.4844	0.139	0.42068	0.44575	0.17737	0.21297	0.14711	0.71357	3.62644	2.4649	1.1174	1.41251	1.0578	0.21011	0.19434	4.92059	0.40117	8.83891	1.49492	1.51249	1.31604	1.35541	0.24715	2.1926	1.00182	0.30998	1.43053	0.53705	0.45161	0.01754	3.26914	0.46233	0.62627	0.58585	1.25613	1.65231	2.12644	1.41865	0.7178	0.89068	0.82192	0.6617	0.50748	1.95626	2.8629	0.2548	1.36572	0.34455	6.14245	1.00264	0.20491	3.45317	0.56698	0.9312	4.73175	1.3683	2.63091	1.65595	1.47086	1.98691	3.42567	8.58091	1.1896	0.49952	4.24785	1.37965	1.20318	1.29231	0.19449	0.5388	0.51116	6.93375	1.25733	4.17773	0.66797	0.26155	1.48966	3.05952	1.19361	0.14367	0.55675	1.37281	2.40286	1.64547	0.30783	0.34808	0.904	32.44456	4.83874	1.32403	1.0751	0.58606	1.43349	3.03974	5.88257	3.51695	3.01437	1.54953	4.21779	0.71899	1.72782
